=== 2026-04-25T15:55:35+02:00 ===
tp-1a222-10.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a222-11.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a222-12.enst.fr: 1m=0.00 5m=0.02 15m=0.00
tp-1a222-13.enst.fr: 1m=0.10 5m=0.06 15m=0.01
tp-1a222-14.enst.fr: 1m=0.02 5m=0.01 15m=0.00
tp-1a226-01.enst.fr: 1m=0.16 5m=0.08 15m=0.02
tp-1a226-02.enst.fr: 1m=0.04 5m=0.01 15m=0.00
tp-1a226-03.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a226-04.enst.fr: 1m=0.04 5m=0.02 15m=0.00
tp-1a226-05.enst.fr: 1m=0.02 5m=0.02 15m=0.00
tp-1a226-06.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a226-07.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a226-08.enst.fr: 1m=0.76 5m=0.68 15m=0.70
tp-1a226-09.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a226-10.enst.fr: 1m=0.04 5m=0.02 15m=0.00
tp-1a226-11.enst.fr: 1m=0.00 5m=0.01 15m=0.00
tp-1a226-12.enst.fr: 1m=0.04 5m=0.03 15m=0.01
Average load across 100/100 hosts: 1m=0.03 5m=0.02 15m=0.01

=== 2026-05-22T09:05:04+02:00 ===
tp-1a201-01.enst.fr: 1m=0.02 5m=0.02 15m=0.00
tp-1a201-02.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-03.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-04.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-05.enst.fr: 1m=0.00 5m=0.01 15m=0.00
tp-1a201-06.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-07.enst.fr: 1m=0.08 5m=0.04 15m=0.00
tp-1a201-08.enst.fr: 1m=0.07 5m=0.02 15m=0.00
tp-1a201-09.enst.fr: 1m=0.00 5m=0.01 15m=0.00
tp-1a201-10.enst.fr: 1m=0.02 5m=0.03 15m=0.01
tp-1a201-11.enst.fr: 1m=0.02 5m=0.03 15m=0.01
tp-1a201-12.enst.fr: 1m=0.10 5m=0.03 15m=0.01
tp-1a201-13.enst.fr: 1m=0.01 5m=0.02 15m=0.00
tp-1a201-14.enst.fr: 1m=0.03 5m=0.06 15m=0.02
tp-1a201-15.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-16.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-17.enst.fr: 1m=0.05 5m=0.06 15m=0.02
tp-1a201-18.enst.fr: 1m=0.11 5m=0.04 15m=0.01
tp-1a201-19.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-20.enst.fr: 1m=0.09 5m=0.03 15m=0.00
tp-1a201-21.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-22.enst.fr: 1m=0.00 5m=0.02 15m=0.00
tp-1a201-23.enst.fr: 1m=0.12 5m=0.08 15m=0.02
